LocalGovernment,Amount,SpendingGroup,SpendingSubgroup,ProjectOverview,TreasuryEligibleUseGroup,TreasuryEligibleUseSubgroup,City_or_County,State
"Albuquerque, NM","$100,000",Public Safety,Violence Reduction And Prevention,"The Domestic Violence Program Manager position will be responsible for coordinating City-wide efforts to eliminate domestic violence and gender-based violence, improve violence prevention and direct services provision and collaboration.",Public Health,Other Public Health Services,Albuquerque,NM
"Anchorage Borough, AK","$200,000",Community Aid,Nonprofit Support,"Funding for two (2) attorneys annually, one dedicated to employment issues and one dedicated to preventing housing instability.",Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage Borough,AK
"Anchorage Borough, AK","$600,000",Community Aid,Nonprofit Support,"Funding made available as Additional Nonprofit support to Moose Lodges, Elks Lodges, Veterans of Foreign Wars, and other fraternal or similar organizations that can demonstrate uncompensated losses from COVID-19 related operating restrictions.",Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage Borough,AK
"Anchorage Borough, AK","$250,000",Community Aid,Nonprofit Support,Funds participation of Municipality of Anchorage resident athletes in sports activities.,Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage Borough,AK
"Anchorage Borough, AK","$200,000",Community Aid,Nonprofit Support,"Lost Revenues due to COVID19 for the MacDonald Center Ice Arena. Funds will allow the Center to continue to operate and serve the community with ice sales, turf fields, tournaments, salaries and private rentals.",Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage Borough,AK
"Anchorage Borough, AK","$50,000",Community Aid,Nonprofit Support,Program that serves the immediate needs of local people who are in need of extra financial assistance other than rental relief or food through collaborators.,Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage Borough,AK
"Anchorage Borough, AK","$2,500,000",Community Aid,Nonprofit Support,"Provides individuals living in the Municipality of Anchorage with one-time vouchers/gift cards for certain daily expenses such as groceries, diapers, medications, and gasoline.",Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage Borough,AK
"Anchorage Borough, AK","$25,000",Community Aid,Nonprofit Support,Supports the Anchorage Youth Court 2021 operational expenses and programs following the lack of fundraising activities and opportunities during the COVID-19 pandemic.,Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage Borough,AK
"Anchorage Borough, AK","$470,000",Community Aid,Nonprofit Support,"We want to ensure the current and future health and safety of Mountain View by building out the Expand the Mountain View Health Services medical offices and clinic space to keep staff and patients safe ensuring the current and future health and safety of the Mountain View area. This “COVID-proofing” project includes construction of a negative pressure and “airscrubbing” ventilation system with heat recovery, and clinic modification including virus barriers for open spaces. Funding will also support Full and Part-Time physicians, counselors, a psychiatrist, and patient support services.",Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage Borough,AK
"Anchorage Borough, AK","$750,000",Community Aid,Nutrition And Food Assistance,"Funding to Revive Alaska Community Services to repair, expand, and upgrade food pantry/storage and distribution facility to meet increasing demands due to the COVID-19 pandemic. The funding is to be released upon satisfactorily demonstrating matching fundraising commitments to complete the proposed project by December 31, 2023.",Negative Economic Impacts,Household Assistance: Food Programs,Anchorage Borough,AK
"Anchorage Borough, AK","$100,000",Community Aid,Youth And Family Support,Funds will provide Thread with a Full-Time staff member to provide technical assistance / navigator support to help child care providers access the federal relief and grant opportunities within the American Rescue Plan Act.,Services to Disproportionately Impacted Communities,Healthy Childhood Environments: Child Care,Anchorage Borough,AK
"Anchorage Borough, AK","$200,000",Community Aid,Youth And Family Support,Provides funding to the UAA - Alaska Child Welfare Academy to support the development of a media and social media campaign to help recruit foster homes and foster youth adoptive homes for a year.,Services to Disproportionately Impacted Communities,Healthy Childhood Environments: Services to Foster Youth or Families Involved in Child Welfare System,Anchorage Borough,AK
"Anchorage Borough, AK","$56,000",Economic And Workforce Development,Other Economic And Workforce Development,"Funds allow for NCE to produce a targeted economic impact study, ecosystem assessment, and set of strategies and policy recommendations to reignite the creative economy and ancillary businesses in Anchorage.",Negative Economic Impacts,Other Economic Support,Anchorage Borough,AK
"Anchorage Borough, AK","$150,000",Economic And Workforce Development,Other Economic And Workforce Development,"Provides funding to Anchorage manufacturers that focus on supply chains & logistics efficiency, scaling up and growth through LEAN, and Excellence in E-Commerce. The programming will be delivered via small cohort, high-touch methods that walk the manufacturing business through the implementation of the technical assistance that will reduce costs and increase sales and revenue in a ""Do It With You"" model. The 4 to 16 week program workshops and individualized technical assistance services (at no cost to the manufacturers) will include: e-commerce programs, Lean services, process improvement, food safety training and certification, and more.",Negative Economic Impacts,Aid to Other Impacted Industries,Anchorage Borough,AK
"Anchorage Borough, AK","$500,000",Economic And Workforce Development,Small Business Support,"Provides business personal property tax relief grants to eligible taxpayers financially impacted by government Emergency Orders and Declarations, as an economic stimulus measure in response to the COVID-19 public health emergency.",Negative Economic Impacts,Small Business Economic Assistance (General),Anchorage Borough,AK
"Anchorage Borough, AK","$3,000,000",Economic And Workforce Development,Tourism And Hospitality,"Provides expanded tourism relief business grants to small businesses experiencing a COVID-19 related hardship includes staffing, product preparation, and marketing to serve tourists/visitors as they begin to travel again.",Negative Economic Impacts,"Aid to Tourism, Travel,or Hospitality",Anchorage Borough,AK
"Anchorage Borough, AK","$200,000",Economic And Workforce Development,Workforce Development,"Provides funding to AWP for recruitment and retention specialists to work with local high schools and non‐ traditional hiring locations to provide basic skills training, industry education, and career coaching to Anchorage community members who are interested in a career in Alaska's construction, oil, gas, mining, transportation and maritime industries to ensure Alaska’s workforce is ready with the American Jobs Plan.",Negative Economic Impacts,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Anchorage Borough,AK
"Anchorage Borough, AK","$150,000",Economic And Workforce Development,Workforce Development,"Provides funding to Nine Stars Net 2 Ladder Program that addresses the immediate needs and barriers for the under- and unemployed youth, families, and adults to Get-aJob. Teaches appropriate workplace/life behaviors to augment a job seeker’s behavioral health to Keep-a-Job. Supports vulnerable Alaskans so they can excel, move to enhanced employment, and ultimately reach financial self-reliance by using an Advance-on-the-Job career map. Serves as a match to the HUD Action Plan Funding.",Negative Economic Impacts,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Anchorage Borough,AK
"Anchorage Borough, AK","$3,062,500",Economic And Workforce Development,Workforce Development,"Supports the Fast Track Career Certificate Program at the University of AlaskaAnchorage, which offers shortterm, job-oriented certificates requiring 16-19 credits over 2- 3 semesters. This funding is offered to those who are unemployed and on re-training and skill upgrades.",Negative Economic Impacts,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Anchorage Borough,AK
"Anchorage Borough, AK","$300,000",Economic And Workforce Development,Youth Workforce Development,"Funding for Shiloh Community Housing, Inc. to provide accessible, affordable, and quality housing for young adults 16-24 years of age. Funding will support their transitional housing program for young adults experiencing homelessness who also experience employment barriers. the LIFE@Work program removes employment barriers by providing work readiness training, job training, work experience opportunities and wellness guidance.",Negative Economic Impacts,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Anchorage Borough,AK
"Anchorage Borough, AK","$100,000",Government Operations Investments,Fiscal Health Recovery,"Aid the Midtown Community Council in its exploration and organization around the formation of a Midtown Improvement District to promote security, safety and economic stimulus in Midtown. Funds will support outside expertise on the size of the district, necessary steps to create a tax improvement district and the scope of the work the district may wish to fund.",Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$3,500,000",Government Operations Investments,Fiscal Health Recovery,"Beetle Kill Mitigation Program in Anchorage and Eagle River / Chugiak, Alaska Includes expanding the MOA Tree Crew and procurement of equipment and contracted Tree Crews for beetle kill removal.",Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$130,000",Government Operations Investments,Fiscal Health Recovery,Create an entrepreneurial creative space at the Library with a special keying system to allow entrance even when the library is closed; removing old case work to allow for an open and flexible space; updating the flooring; and installation of additional cameras so that the space is secure and safe for the users.,Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$25,000",Government Operations Investments,Fiscal Health Recovery,"Due to the impacts of COVID-19, the Library is seeing an increased demand for homeschooling materials, which crosses subjects and formats, and includes families fully homeschooling and those supplementing school virtual learning. The Library will be required to purchase additional how-to guides, homeschooling philosophies, and educational activity guides, as well as materials for homeschool curriculum reading lists, and popular books, educational books and DVDs, and STEM kits.",Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$2,500,000",Government Operations Investments,Fiscal Health Recovery,"Funding made available for facility safety and code upgrades at the Anchorage Health Department to include replacement of the original antiquated boilers to include; engineering, abatement, and replacement.",Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$2,543,418",Government Operations Investments,Fiscal Health Recovery,"Funding made available to MOA Maintenance & Operations for replacement of existing fleet inventory and have met their useful lives. Vehicles used beyond their useful lives can experience frequent down time and high maintenance costs if not replaced in a timely fashion. This would include replacement for APD, General Government, and Heavy Equipment.",Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$250,000",Government Operations Investments,Fiscal Health Recovery,"Funding made available to the Anchorage Fire Department to replace Emergency Medical Service (EMS) staff vehicles. This would allow for replacement of vehicles that have excessive mileage, suffer from unreliable performance, and have repairs that exceed the value of the vehicle.",Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$125,000",Government Operations Investments,Fiscal Health Recovery,Funding to restore lost revenues.,Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$150,000",Government Operations Investments,Fiscal Health Recovery,Funds 2 seasonal positions to coordinate seasonal activities dedicated to providing diverse and targeted programing in our parks and trails for underserved communities.,Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$300,000",Government Operations Investments,Fiscal Health Recovery,"Funds equipment upgrades for ADP to continue and expand their efforts to provide a clean and safe downtown and a parallel investment in funds to drive activation of public spaces in the downtown through a variety of efforts which aim to ensure the vitality of downtown. Further, these funds will be used to attract additional financial support to accomplish a broad array of projects including façade improvements, wayfinding with Indigenous place names, murals, Winter City activation.",Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$500,000",Government Operations Investments,Fiscal Health Recovery,"Funds Rhythm for Civics online customer portal cashiering module, software, and professional services contracts to minimize in-person interactions for permitting services and provide customers with a seamless application and payment process.",Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$80,000",Government Operations Investments,Fiscal Health Recovery,"Funds the installation of bicycle racks throughout the Municipality of Anchorage to provide more options for tourists and residents alike to access attractions and local businesses, and connect with outdoor public spaces.",Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$800,000",Government Operations Investments,Fiscal Health Recovery,Provides Parks & Recreation Permit Fee Relief for Partners.,Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$800,000",Government Operations Investments,Fiscal Health Recovery,Public Transit Department funding for Underground Fuel Storage Tank Remediation at the Public Transportation facility on Elmore Road. This funding will be used in conjunction with FTA grant funds to replace the fuel storage tank.,Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$40,000",Government Operations Investments,Fiscal Health Recovery,Purchase of 100 MiFi's that will provide access to low-income customers without technology through 2022.,Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$45,000",Government Operations Investments,Fiscal Health Recovery,Purchase of COVID-aware workstations that allow workers to return to public offices at the Chugiak-Eagle River Library.,Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$25,000",Government Operations Investments,Fiscal Health Recovery,"The Library experienced a significant rise in demand for digital materials during the COVID-19 closures. Use of the Library's online Wordbook Encyclopedia increased by 640% during that time due to additional use by students working from home without access to their school or public libraries. Usage of the online learning platform Lynda.com and hoopla (digital books and movie streaming) increased over 50% as well. While digital usage slowed somewhat once curbside pick-up for physical materials was offered, many patrons have now transitioned to digital permanently, which will lead to further increased demand for these resources.",Revenue Replacement,Provision of Government Services,Anchorage Borough,AK
"Anchorage Borough, AK","$160,000",Government Operations Investments,Government Employee Wages Or Hiring,Funds will provide the i-Team with a Full-Time staff member dedicated to helping families access federal benefits/relief funding for which they are eligible from the American Rescue Plan Act.,Negative Economic Impacts,Household Assistance: Internet Access Programs,Anchorage Borough,AK
"Anchorage Borough, AK","$500,000",Housing,Homelessness,"Funding to Choosing our Roots to acquire a multi-unit dwelling, which would be used to temporarily house youth participants (ages 18-24) awaiting host home placement.",Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Anchorage Borough,AK
"Anchorage Borough, AK","$1,623,165",Housing,Homelessness,"Funding to the House of Transformations to provide housing, addiction treatment, vocational and apprenticeship training, and other wrap around services for persons experiencing homelessness.",Services to Disproportionately Impacted Communities,Housing Support: Other Housing Assistance,Anchorage Borough,AK
"Anchorage Borough, AK","$225,000",Housing,Homelessness,Supports the rapid rehousing efforts to transition the increase of homeless youth out of the Covenant House Alaska emergency shelter and into more stable permanent housing during the COVID-19 pandemic.,Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Anchorage Borough,AK
"Anchorage Borough, AK","$44,000",Infrastructure,Broadband,"Provides broadband capacity infrastructure and internet services to allow for installation of security cameras and improve internet access for residents, staff, members and guests at the ChugiakEagle River Senior Center.",Infrastructure,Broadband: Other projects,Anchorage Borough,AK
"Anchorage Borough, AK","$600,000",Public Health,Mental Health,Funds for school-based mental health services to continue to respond to children and youth mental health needs exacerbated by the COVID-19 pandemic.,Services to Disproportionately Impacted Communities,"Education Assistance: Social, Emotional, and Mental Health Services",Anchorage Borough,AK
"Anchorage, AK","$50,000",Community Aid,Direct Payments Or Subsidies,Program that serves the immediate needs of local people who are in need of extra financial assistance other than rental relief or food through collaborators,Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage,AK
"Anchorage, AK","$2,500,000",Community Aid,Direct Payments Or Subsidies,"Provides individuals living in the Municipality of Anchorage with one-time vouchers/gift cards for certain daily expenses such as groceries, diapers, medications, and gasoline",Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage,AK
"Anchorage, AK","$200,000",Community Aid,Nonprofit Support,"Funding for two (2) attorneys annually, one dedicated to employment issues and one dedicated to preventing housing instability",Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage,AK
"Anchorage, AK","$600,000",Community Aid,Nonprofit Support,"Funding made available as Additional Nonprofit support to Moose Lodges, Elks Lodges, Veterans of Foreign Wars, and other fraternal or similar organizations that can demonstrate uncompensated losses from COVID-19 related operating restrictions",Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage,AK
"Anchorage, AK","$200,000",Community Aid,Nonprofit Support,"Lost Revenues due to COVID19 for the MacDonald Center Ice Arena. Funds will allow the Center to continue to operate and serve the community with ice sales, turf fields, tournaments, salaries and private rentals",Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage,AK
"Anchorage, AK","$250,000",Community Aid,Nonprofit Support,Team Alaska Nonpofit Funds participation of Municipality of Anchorage resident athletes in sports activities,Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage,AK
"Anchorage, AK","$750,000",Community Aid,Nutrition And Food Assistance,"Funding to Revive Alaska Community Services to repair, expand, and upgrade food pantry/storage and distribution facility to meet increasing demands due to the COVID-19 pandemic.",Negative Economic Impacts,Household Assistance: Food Programs,Anchorage,AK
"Anchorage, AK","$100,000",Community Aid,Other Community Aid,"Aid the Midtown Community Council in its exploration and organization around the formation of a Midtown Improvement District to promote security, safety and economic stimulus in Midtown. Funds will support outside expertise on the size of the district, necessary steps to create a tax improvement district and the scope of the work the district may wish to fund",Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$100,000",Community Aid,Youth And Family Support,Funds will provide Thread with a Full-Time staff member to provide technical assistance / navigator support to help child care providers access the federal relief and grant opportunities within the American Rescue Plan Act.,Services to Disproportionately Impacted Communities,Healthy Childhood Environments: Child Care,Anchorage,AK
"Anchorage, AK","$200,000",Community Aid,Youth And Family Support,Provides funding to the University of Alaska Anchorage - Alaska Child Welfare Academy to support the development of a media and social media campaign to help recruit foster homes and foster youth adoptive homes for a year,Services to Disproportionately Impacted Communities,Healthy Childhood Environments: Services to Foster Youth or Families Involved in Child Welfare System,Anchorage,AK
"Anchorage, AK","$25,000",Community Aid,Youth And Family Support,Supports the Anchorage Youth Court 2021 operational expenses and programs following the lack of fundraising activities and opportunities during the COVID-19 pandemic,Negative Economic Impacts,Aid to Nonprofit Organizations,Anchorage,AK
"Anchorage, AK","$25,000",Community Aid,Youth And Family Support,"The City's Library will be required to purchase additional how-to guides, homeschooling philosophies, and educational activity guides, as well as materials for homeschool curriculum reading lists, and popular books, educational books and DVDs, and STEM kits.",Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$130,000",Economic And Workforce Development,Economic Development,Create an entrepreneurial creative space at the Library with a special keying system to allow entrance even when the library is closed; removing old case work to allow for an open and flexible space; updating the flooring; and installation of additional cameras so that the space is secure and safe for the users,Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$56,000",Economic And Workforce Development,Economic Development,"Funds allow for NCE to produce a targeted economic impact study, ecosystem assessment, and set of strategies and policy recommendations to reignite the creative economy and ancillary businesses in Anchorage",Negative Economic Impacts,Other Economic Support,Anchorage,AK
"Anchorage, AK","$300,000",Economic And Workforce Development,Neighborhood/Downtown Revitalization,"Funds equipment upgrades for ADP to continue and expand their efforts to provide a clean and safe downtown and a parallel investment in funds to drive activation of public spaces in the downtown through a variety of efforts which aim to ensure the vitality of downtown. Further, these funds will be used to attract additional financial support to accomplish a broad array of projects including façade improvements, wayfinding with Indigenous place names, murals, Winter City activation",Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$150,000",Economic And Workforce Development,Other Economic And Workforce Development,"Provides funding to Anchorage manufacturers that focus on supply chains & logistics efficiency, scaling up and growth through LEAN, and Excellence in E Commerce. The programming will be delivered via small cohort, high-touch methods that walk the manufacturing business through the implementation of the technical assistance that will reduce costs and increase sales and revenue in a ""Do It With You"" model",Negative Economic Impacts,Aid to Other Impacted Industries,Anchorage,AK
"Anchorage, AK","$500,000",Economic And Workforce Development,Small Business Support,"Provides business personal property tax relief grants to eligible taxpayers financially impacted by government Emergency Orders and Declarations, as an economic stimulus measure in response to the COVID-19 public health emergency",Negative Economic Impacts,Small Business Economic Assistance (General),Anchorage,AK
"Anchorage, AK","$3,000,000",Economic And Workforce Development,Small Business Support,"Provides expanded tourism relief business grants to small businesses experiencing a COVID-19 related hardship includes staffing, product preparation, and marketing to serve tourists/visitors as they begin to travel again.",Negative Economic Impacts,"Aid to Tourism, Travel,or Hospitality",Anchorage,AK
"Anchorage, AK","$150,000",Economic And Workforce Development,Workforce Development,"Provides funding to Nine Stars Net 2 Ladder Program that addresses the immediate needs and barriers for the under- and unemployed youth, families, and adults to Get-aJob. Teaches appropriate workplace/life behaviors to augment a job seeker’s behavioral health to Keep-a-Job",Negative Economic Impacts,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Anchorage,AK
